Sample:  $
User:  $
Input Power:  $
Objective:  $
Timestamp: 17-Jul-2019 16:02:28 $
DwellTime: 0.004 s $
MinX: -4.7904 $
MaxX: 5.9069 $
StepsX: 80 $
OffsetX: 0 $
MinY: -5.3451 $
MaxY: 4.8536 $
StepsY: 80 $
OffsetY: 0 $
MinZ: 45 $
MaxZ: 70 $
StepsZ: 200 $
OffsetZ: 0 $


0.5	1.25	0.75	0.5	0.25	0.25	0.25	0.5	0.25	0.25	0.25	0.5	0.75	0	0.75	0.25	0.25	0	0.25	0.25	0.25	0	0.5	0.25	0.5	0.25	0.25	0.25	0.5	1.25	0	0	0.75	0.5	0.5	0.25	0.25	0.25	0	0.75	0.75	0.5	0.25	0.25	0.75	0	0.25	1	0.75	1	0.25	0.25	0.5	1	1	0.25	1.25	1	0.25	0.5	0.75	0.5	0.75	0.75	0.25	1.25	0.25	0.5	0.25	0	0	0	0.25	0.5	0.5	0.75	0.25	0.5	0	0.5
1.25	0	0.25	0.5	0.25	0.5	0.75	0	0.75	0.25	0.25	1.5	0.5	0.5	0.5	0.25	0.25	0.5	0.5	0.75	0.75	0.25	0.5	0.5	0.25	0.5	0.25	0.25	0.25	0	0.25	0	0.25	0.75	0.25	0.25	0	0.75	0	0.25	0	0.25	0	0.25	0	0.5	0.25	0	0.25	0	0	0.25	0.25	0	0.75	0.25	0.25	0.25	0.25	0.5	1	0.25	0.5	0.5	1	0.25	1	0	0	0.25	0.5	0	0	0.25	1.25	0	0.25	0	1	0
0.5	1.25	0.75	1.5	0.5	0.25	0.5	0.75	0.5	0.75	0.5	0	0.75	0	0	0.25	0.75	0	0	0.5	0.75	0.5	0	0.75	0.5	0.25	0.25	0	0.25	0.5	0.5	0	0	0.25	0	0.5	0.25	0.25	0.75	0	0.25	0.25	0.75	0.25	0	0	0	0	0	0	0	1	0.75	1	1	0.75	0.5	0.25	1	1	0.5	2.25	0.5	0	0.5	0.5	0.25	0.75	0.75	0.5	0.5	0	1.5	0.5	0.5	1	0.25	0.25	0	0.5
1	0.75	0.25	1.25	2.25	0.75	0.75	0.25	1	0.25	0	0.5	0	0.25	0.25	0.5	0.25	0.5	0.5	0.25	0	0.5	0	1	1.5	1	0.5	0.25	0.5	0.25	0.5	1	0.25	1.5	0.25	0.25	0	0.25	0.25	0	0.5	0.75	0.75	0	0	0	0.5	0.75	0.25	0.75	0.5	2	1.5	1	0.25	0.5	0.75	0.75	0.25	0.75	1.75	1.75	0.5	0	0.5	0.25	0.5	0.25	0.75	0.25	0	0.25	1.25	0.5	0.75	0.75	0	0.25	0.25	0.25
0.75	0.25	0.25	1	1.25	2.5	0.5	0.75	1	0.75	1.25	0.75	1.25	0.25	0.5	0.5	0.5	0.5	0.25	0.5	0.5	0.25	0.5	0.75	0.5	0.25	0.75	0	0.75	0.25	0.75	0.25	1.25	0.5	0.25	0.75	0.25	0.25	0	0	0.25	0.5	0.25	0.25	0.5	0.5	0	0.75	1.5	0.75	1.25	0.5	1.5	1.25	1.5	0.25	0.5	0.25	0.75	1	0.75	1.25	0.75	2	0.75	0.5	1.5	0.25	0.25	0	0.25	0.75	0.25	0.75	0.75	0.5	0.75	0	0	0
0.75	0.25	0.25	1	2	0.5	0.5	0.5	1.25	0.5	0.5	0.25	0.5	0.25	0.75	0.5	0.25	0.25	0.5	1	0.75	0	0.25	0.25	0.25	0	0.75	0.25	0.75	0.25	0.25	0.75	0.25	0.5	0.25	0.25	0	0.25	0	0.5	0.5	0.5	0	0.25	0.5	0.5	1.25	0.75	1	0.75	0.75	0.75	0.5	0.25	0	0	0.5	0.5	0.25	0.25	1	0.5	1.25	1.25	0	1	1	0.5	0.75	0.75	1	0.25	0.25	0.5	0.5	0	0.75	0.25	0	0.25
0	0.5	1	1	0.75	2.5	0.25	0.25	0.5	0.75	0.75	1.5	0	0.75	1	0.25	0.5	0.75	0	0.25	1	1	0.5	0.25	0.75	0.5	0.25	1	1	0.5	0.75	1.25	0	0	1	0.5	0.25	0.5	0.25	0.5	0.25	0.5	0.25	0.5	0.25	0.25	0.5	1	1	1	0.75	1	0.25	0.25	0.75	0.25	1.25	1.75	1.25	0.25	0.75	0.5	0.5	0.25	0.25	1	0.75	0.75	0.75	1.5	0.75	1.5	0.75	1	0	1	0.5	0.25	1.75	0.75
0	0.25	0.25	0.75	1.25	0.25	0.75	0.25	0.5	0.25	1	0.5	0.5	1.5	0.5	0.5	0	0	0.75	0	0	1	0.5	0.25	0.25	0.25	0.75	0.75	1	1	0.25	0.5	0.25	0.25	0.25	0.25	0	0	0.5	1	0.25	0.75	0.5	0	0.75	0.5	0.75	0.5	1.25	0.75	2	1	0.5	0.5	0	1.25	1.75	0.75	1.25	0	0.25	0.25	0.75	0.25	0.5	0.75	0	0.75	0.5	2.5	0.75	0.75	1.5	0.75	1.5	0.25	0.25	0.75	1	0
0.5	0.5	0	0.25	0.25	1.25	0.5	0.75	0.5	0.25	1.5	0.25	1.5	0	0.25	0.5	0	0.25	0.25	0	0	0	0.75	0.25	0.25	0	1	0.75	0.25	0.75	0	0.25	0.25	0	0.25	0.25	0.25	0.75	0.5	1	1.5	0.75	0.25	0	0	0.75	1.75	1.5	0.25	1.75	1	0.75	0.75	1	1.25	0.5	1	1.5	1.5	1.75	2.25	0.5	0.75	0.25	0.5	0.25	1	0.25	0.75	1.5	1	0.25	0.5	0.5	0.5	0.5	0.5	1	1	0.5
0	0	1	0.5	0.75	0.5	1.25	1.75	1.25	1	0.5	0.5	1	1	0	0.5	0.25	0.25	0.75	0.75	0.5	0	0.25	0.25	1	0.25	0.25	0.25	0.5	0	0.5	0.25	0.5	0	0.5	0.25	0.5	0	0.25	0.75	1.25	0.25	0.5	0.5	0.5	0.25	0.25	0.75	1.25	0.5	0.75	0.5	0.5	0.5	0.75	0.25	1.25	0.75	1	0.5	0.75	0.75	0.5	0.75	1	1.5	0.75	0.75	0.75	1	0.75	1.75	0.25	0	0.75	0	0	0.75	0.5	1.25
0.25	0.25	0	0.25	0.75	0.25	0	0.25	0.75	1.5	0.75	0.5	0.75	0.5	0.25	0.5	0.25	0.75	1.5	1	0	0.75	0	0.25	0.25	0.25	1	0.5	0	0.75	0.25	0.5	0.75	0.25	0	0.25	0.25	0.5	0.5	0	0.75	0.75	0.75	0.25	0.75	1	1.25	2	1.5	1	0.5	1	0.5	1	0.75	0.75	1	0.5	0	0.75	0	0.5	0.5	0.75	0.75	0.5	0.75	1.25	0.5	0.25	0.5	0	1.25	0.5	0	0	0.25	0.5	0.75	1
0.5	0.25	0.25	0.75	0.75	0.75	0.75	0.5	0.75	1.25	1.25	0.75	1.5	1	0	0	0.5	0	0.75	1	0.75	0.5	0.25	0	0.5	0.5	0.5	0	0.5	0	0	0.5	0.25	0	0.25	0.5	0.25	0.25	0	0	0.25	0.5	0.75	0.5	0.25	0.25	0.75	1	0.25	0.75	1.25	0.75	1.25	1	0.25	0.5	0.5	0.75	1.5	2	1.25	0.25	0.25	0.75	0.25	0.75	1.75	0.5	0.75	0	0.25	0	0.25	0.25	0.75	1	0	0	2.5	1.75
0.25	1	0	0	0	0	1	1.75	0.5	0.25	1.25	0.75	1	0.75	0.5	0.75	1.25	0.75	0.75	1.25	1.25	0.5	0.75	0.5	0.5	0	0.5	1	1.25	0.25	0.25	0.5	1	0.25	0.25	0.25	0.75	0	0.5	0.5	1.5	0.75	0.25	0.25	0	0.75	0	0.5	0.5	0	0	1.25	1	0.5	0.25	0	0.25	0.5	1.25	1	1.25	0.75	1.25	0.75	1	0.5	0.75	0.75	1	1	0.75	0.5	0.75	0.25	0.5	0.75	0	0.75	0	0.25
