Sample:  $
User:  $
Input Power:  $
Objective:  $
Timestamp: 18-Jul-2019 14:01:03 $
DwellTime: 0.002 s $
MinX: -2.2805 $
MaxX: 5.84 $
StepsX: 160 $
OffsetX: 0 $
MinY: -3.2252 $
MaxY: 5.1019 $
StepsY: 160 $
OffsetY: 0 $
MinZ: 45 $
MaxZ: 70 $
StepsZ: 200 $
OffsetZ: 0 $


0.5	0	0.5	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0	0.5	0	0	1	0	0	0.5	0	1	0.5	0.5	1	1.5	0.5	0	0.5	0	0.5	0	0	0	0	0	1	0.5	0	0	0	0.5	0	0.5	0	0.5	0	0.5	0.5	0.5	0.5	0.5	1	0.5	0.5	1	0	0.5	0	0	1	0.5	0	1	0.5	0	0.5	0.5	1	0.5	1.5	0	0	1.5	0	0	0	0.5	0	0	0	0	0.5	0	0	0.5	0.5	0	0.5	0	1	1	0	0	0	0.5	0	0	1	0	0.5	0.5	0	0	1.5	0	0	1	0.5	0	0	0.5	0	0	0	0	0	1.5	1	0.5	0	1.5	0.5	0.5	0	1	0.5	0.5	0	0.5	0	0	0.5	0	0.5	1	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0	1	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0.5
0	0.5	1.5	0.5	0	1	0	0.5	0	0	0.5	0	1	0	0	0.5	0	0	1	0.5	0	1.5	0.5	1	0.5	0	1.5	1	1	0	0.5	0.5	0.5	0	0.5	1.5	0	0.5	0.5	0	0	0	0	0	0.5	0	0.5	0.5	0.5	0	0	0	1	0	0.5	0	0	0	0.5	0.5	0.5	1	0	0.5	0.5	0.5	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	1	0	0	0	0.5	0	0.5	0	0	0	0	0.5	0.5	1	0	0	0	0	0.5	0	0	0.5	0.5	0	0	0.5	0.5	0.5	1.5	0	0	0.5	0	0	0.5	0	0	0	0	0.5	0	0.5	1	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0.5	0.5	0.5	0.5	0	1	0	0.5	0.5	0.5	0.5	0	0.5	0	1	0.5	0.5	0	0.5	0.5	0.5	0	0.5	0	0
1	0	0.5	0	0	1	0	0.5	0.5	0	0	0	0.5	0	0	0.5	0.5	0	1	1	0.5	1.5	1.5	1.5	0.5	0.5	0	0	0	0.5	0	0.5	0	0	0	0.5	0	1	0.5	1	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	1.5	0	0.5	1	0.5	1	0.5	0	0.5	1	1	0.5	1	0	0.5	0	0.5	0	1.5	0.5	0.5	0	0.5	0	0.5	0	0	0	0	0	0	0	0	1	0	0.5	0.5	0.5	0	0.5	0	0	1	0	0	0.5	0	0	0.5	0	0.5	0.5	0	1.5	0	0.5	0	0.5	0	0	0	0	0	0.5	0.5	0	0	0	0.5	0	0	0	0	0.5	0.5	0.5	0	0	0	0.5	0	0	0.5	0	0.5	0.5	0	0.5	0	0	0	0.5	0	0	0.5	0	0.5	0	0.5	0	0	1	0.5	0	0.5	0	0.5	0.5
0	1.5	1	0.5	0	0	0.5	0.5	0	0.5	0	0	1	0.5	0	0	0	2.5	1	1.5	0.5	2	0	0.5	1.5	0.5	0.5	0.5	0	0	1	1	0.5	0.5	0	1	0	0	0.5	0.5	0	0.5	0	1	0	0	0	1	0.5	0.5	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0.5	0.5	0	0	0.5	0	0.5	1	0	0	0	0.5	0	0.5	0.5	0	0	0	0	0.5	0.5	0	0	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0.5	0.5	0.5	0	0	0.5	0	0	0.5	0	0.5	0.5	0	0.5	0	1	0.5	0	0	0	0	0.5	1	0.5	0.5	0.5	0.5	0	0.5	0	0.5	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0.5	0	0.5	0	0	0.5	0	0	0.5	0	1	0	0.5	1
1.5	0.5	1.5	0.5	0.5	1	0	0	0	0.5	0	0	0	1	0.5	0	0.5	0.5	1	0	0.5	0.5	0.5	0	0.5	0	0	1	0	0	0	1.5	0	0	0.5	0.5	0	0	0	0	0.5	0	0	0.5	0	0	1	0.5	0.5	0	1	0	0	0.5	0	0	0.5	0	0	0.5	0.5	0	0	0	0	0.5	1	0.5	1	0	0	0	0	0.5	0	0.5	0	0	0.5	0	0	1	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	1.5	0	0.5	0	0	0	0	1	0	0	0	0	1.5	0	0	0	0.5	0	0	0	0.5	0	0	0	0	1	0.5	0	0	0	0.5	0.5	0	0.5	0	0.5	0	0	0	0	0.5	0.5	0	0	1	0.5	0.5	1	0.5	1	1	0.5	0.5	1	0.5	0.5	0	0	0.5	0.5	0	0.5	0
0	0	1	0	0	0	0.5	0	0	0	0	0.5	1	0	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0	0.5	0	1	0	0.5	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0.5	0.5	0.5	0.5	0	1	1	0	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0	0.5	0	0	0	0	1	0	0	0	0.5	0	0.5	0	0.5	0	0	1	0.5	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0.5	1.5	1.5	0.5	1	0.5	0	0.5	0.5	1	0	1	0.5	0	0	0	0.5	1	1	1	0	0.5	0.5	0	1.5	0.5
0	0	0	1	0.5	0.5	1	0	0	0	0	0	0.5	0	1	0	0.5	1.5	0	0	1	1	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.5	0	0.5	0	0	0	0	0.5	1.5	0.5	0	0	0	0.5	0.5	0	0.5	0.5	0.5	0	0	0.5	0	1.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.5	1	0.5	0.5	0	0	0	0	1.5	0.5	0.5	1	2	0	0	0	0	0	0.5	1	0	0	1	0	0	0.5	0	0	0.5	0	0.5	1	0	0.5	1	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.5	0	0	0	1.5	1.5	0.5	1	0.5	0.5	0	0	0	0	1	0	0.5	0	0	0
0	1	0.5	0	2	0	0.5	0.5	0	0	0	0.5	0	1	0.5	0	0.5	1	0	1	0.5	0.5	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0	0	1.5	0.5	1.5	0	0.5	0.5	1	0.5	0	0.5	0	0	0	0.5	0	0	0	0.5	0	0	0.5	0.5	0	0.5	0	0.5	0	0	0.5	0.5	0.5	0.5	0	1	0	0	0	1	0	0	0	0	0	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0.5	1	0	0	0	0	0	0.5	0	0.5	1.5	0.5	0.5	0	0.5	1	0.5	0	1	1	0	0	0	0	0.5	0	0	0.5	0	1.5	0	1	1	0	0.5	1	1	0	1	0	0.5	0	0	0	1	0.5	0.5	0.5	0.5	0.5	0	0	0	1.5	0	0	0.5	0	0	1	0	0	1	0	0	1.5	0	0	0	0
0	1	0	0	0	0.5	0	0.5	0	0.5	0	0	0	0.5	0.5	0	0.5	0	0.5	0.5	0	0	0	0	0	1	0.5	0	1	0.5	0	0	0	0	1	1	0	0	0	0	0	1	0.5	0.5	0	0.5	0.5	0.5	0.5	0	0	0.5	0.5	0	0	0	0	1	0	0	0	0	0.5	0	1	0.5	0.5	0	1	0.5	0	0	0	0	0	0.5	0	0	0	1	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0.5	0	0.5	0	0.5	0	1	0	0.5	0	0	0	0.5	0	0	0	0.5	0	0.5	0	0.5	0	0	0.5	0	0.5	0.5	1.5	0.5	0	1	0.5	0	0.5	0.5	0	0	0	0	0	0	0.5	0.5	1	0	1	1	0.5	0.5	0.5	0	0	0	0	0	1	0.5	0	0	0.5	0.5	0	0	0	0	0	0	0
0	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	0	0	0.5	0	0.5	0	0	0.5	0	0.5	0	0.5	0	0	0	0	0.5	0	0.5	0	0.5	0	0.5	0	0	0.5	0	0	0.5	0	0	1	0	0	0	1.5	0.5	0.5	0	0	0	0	0	0.5	0.5	0	0.5	0	0	0.5	0	0	0	0	0	0	0.5	1	0.5	0	0	0.5	0	0	0.5	0	0.5	0	0.5	0.5	0	0.5	0.5	0	0	0	1	0	1.5	0	0	0.5	2	0.5	0	0	0.5	0	2	0	0	1	0	0.5	0	1	0	0	0	0	0	0	1	1.5	0	0	0	1	0.5	0	0	0	0	0.5	1	0	1	0	0.5	0	0.5	0.5	0	0	0	0	1	0	0.5	0.5	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0.5	0.5	0
0	0.5	0	0	0	0.5	0.5	0	0	0.5	0	0	0.5	0	0.5	2	0	0	0	0	0	0	1	0.5	0.5	0.5	0	0.5	0	0.5	0.5	0	0	0.5	0	0	0	1.5	0.5	1	0	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0	0.5	0	0	0	0	0	0	0.5	0	0	0.5	1	0.5	1	1	0	0	0	0	0	0	0.5	0.5	0.5	0.5	0.5	0	0	0	0.5	1	0	1	0.5	0.5	0	0.5	1	0	0.5	0.5	0	0.5	0	0	0	0.5	0	0.5	0.5	0.5	0	0.5	0	0.5	1	0	0	1	0	0.5	0	0	0	0.5	0	0.5	0.5	0.5	0.5	0.5	0.5	0	0	0	0.5	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0	0.5	1	0.5	0.5	0	0	0	0.5	0	0	0	0.5	1	2	0.5	0	0.5	0.5	1	0	0	0
0	0	1	1.5	0.5	0	0	0	0.5	0	1	0	0	0	0	0	0	0	1	0	0.5	0	0	0	0	0	0	1	1	0	0.5	0	0	0.5	0	0	0	1	0	0	0	0	0.5	0	0.5	0	0	0	0	0	0	0	0	0	0.5	0.5	1.5	2	0.5	0	0.5	0.5	0.5	1	0	1	0	0	0.5	0.5	0	0	0	0	0	0	0	0	0	0	1	0.5	0	0.5	0	0	0	0	0	0.5	0	0	0	0.5	0.5	0.5	0	0	0.5	0.5	0.5	0	0.5	1	0	0	0.5	0.5	0	0.5	0	0.5	1	1	0.5	0	0	0	0.5	0	0	0	0	0.5	0	1	0	0.5	0	0.5	0	0	0.5	0.5	0	1	0.5	0	0.5	0	0.5	0	0	0	0	1	1	0	0	0.5	1.5	0	0	0	1.5	0.5	0	0	0	0
0	0.5	2	0	0	0	0	0	0.5	0	0.5	0	0	0.5	0.5	1.5	0.5	0.5	0.5	0.5	0	1	0.5	0	0.5	0	0	0	1	1	0	0.5	0	1	1	0.5	0.5	0	1	0	0	0.5	0	0.5	0.5	0	0	0	0.5	0.5	0	0	0	0	1	0.5	0.5	1	0	0.5	0.5	0.5	0	0	0.5	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.5	0	0	0	0	0	0	0	0	0.5	0.5	0	0	1	0.5	0	0	0.5	0	0	0	0	0.5	0.5	0	0	0	0	0.5	0	0.5	0	1	0.5	0	0	1.5	0	0	0	1	0.5	0.5	0	0	0	0.5	1.5	1	0	0	0	1	0.5	0.5	0.5	0	0.5	0	0	0.5	0	0.5	1	0	0	0	0	0	1.5	0	0
1.5	1	0.5	0	0	0	0	0	0	0	0	0.5	1	0	0	0.5	0.5	0	1	0	0	0	0	0	0	1	1	0.5	0	1.5	0	0.5	0	0	0.5	0	0	0	1	0.5	0	0.5	0	0	0	0	0	0	0	0	1	0.5	0.5	0	0	0	0	1	0	1	0.5	0.5	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0.5	0	0	0	0	0.5	0	1	0.5	0	0.5	0.5	1	1	0	0	0.5	0	0.5	0.5	1	0	0	0.5	0	0	0.5	0	0	0	0.5	1	0	0	0.5	0.5	0.5	0	0.5	0.5	0	0	0	0	0	0	0	0	1	0	0.5	0.5	0	1	0.5	0	0	0.5	0	0.5	0.5	0	0	0	0.5	0	0	1	0	1	0	0.5	0.5	0.5	0.5	0	0	0	0	0	0.5	0	0.5	0.5	0
